type,hull_class,sig_radius,shield_em,shield_thermal,shield_kinetic,shield_exp,armor_em,armor_thermal,armor_kinetic,armor_exp,structure_em,structure_thermal,structure_kinetic,structure_exp,shield_hp,armor_hp,structure_hp,wpn_dmg_mod,Weapon Optimal,Weapon Falloff,Weapon Tracking,rof,dmg_multiplier_max,dm_mutiplier_per_cycle,max_combat_orbit_range,ammo_em,ammo_thermal,ammo_kinetic,ammo_exp,missile_type,missile_dmg,missile_dmg_bonus,missile_rof,base_missile_velocity,base_missile_time,missile_time_bonus,missile_velocity_bonus,Enemy Max Velocity,max_velocity_sig_radius_multiplier,Enemy Orbit Velocity,armor_dmg,shield_charge,item_damage,capacitor_cap,rr_type,rr_amount,rr_optimal,rr_falloff,rr_rof,local_rep_type,local_rep_strength,local_rep_duration,Primary EWAR,ewar1_strength,ewar1_rof,ewar1_optimal,ewar1_falloff,Secondary EWAR,ewar2_strength,ewar2_rof,ewar2_optimal,ewar2_falloff,Total Base HP,Weapon DPS,Total DPS,Remote Repair Per Second,Local Repair Per Second,GJ Neutralized Per Second,Missile DPS,Approximate Missile Range
Blastlance Tessella,frigate,50,0.0,20.0,40.0,50.0,50,35,25,20,0,0,0,0,1100.0,200,400,2.5,5000,10000,4000,2.0,,,9000.0,0.0,0.0,0.0,40.0,,,,,,,,,1500,,1000,,,,1.0,,,,,,,,,,,,,,,,,,,1700,50,50,,,,,
Blastneedle Tessella,frigate,50,0.0,20.0,40.0,50.0,50,35,25,20,0,0,0,0,550.0,200,400,2.5,2500,5000,4000,2.0,,,5000.0,0.0,0.0,0.0,20.0,,,,,,,,,1500,,1000,,,,1.0,,,,,,,,,,,,,,,,,,,1150,25,25,,,,,
Emberlance Tessella,frigate,50,0.0,20.0,40.0,50.0,50,35,35,10,0,0,0,0,200.0,1000,450,2.5,5000,10000,4000,2.0,,,9000.0,0.0,40.0,0.0,0.0,,,,,,,,,1500,,1000,,,,1.0,,,,,,,,,,,,,,,,,,,1650,50,50,,,,,
Emberneedle Tessella,frigate,50,0.0,20.0,40.0,50.0,50,35,35,10,0,0,0,0,200.0,500,450,2.5,2500,5000,4000,2.0,,,5000.0,0.0,20.0,0.0,0.0,,,,,,,,,1500,,1000,,,,1.0,,,,,,,,,,,,,,,,,,,1150,25,25,,,,,
Sparklance Tessella,frigate,50,0.0,20.0,40.0,50.0,50,35,35,10,0,0,0,0,200.0,1000,450,2.5,5000,10000,4000,2.0,,,9000.0,40.0,0.0,0.0,0.0,,,,,,,,,1500,,1000,,,,1.0,,,,,,,,,,,,,,,,,,,1650,50,50,,,,,
Sparkneedle Tessella,frigate,50,0.0,20.0,40.0,50.0,50,35,35,10,0,0,0,0,200.0,500,450,2.5,2500,5000,4000,2.0,,,5000.0,20.0,0.0,0.0,0.0,,,,,,,,,1500,,1000,,,,1.0,,,,,,,,,,,,,,,,,,,1150,25,25,,,,,
Strikelance Tessella,frigate,50,0.0,20.0,40.0,50.0,50,45,25,10,0,0,0,0,1100.0,200,400,2.5,8000,4000,4000,2.0,,,9000.0,0.0,0.0,40.0,0.0,,,,,,,,,1500,,1000,,,,1.0,,,,,,,,,,,,,,,,,,,1700,50,50,,,,,
Strikeneedle Tessella,frigate,50,0.0,20.0,40.0,50.0,50,45,25,10,0,0,0,0,550.0,200,400,2.5,4000,2000,4000,2.0,,,5000.0,0.0,0.0,20.0,0.0,,,,,,,,,1500,,1000,,,,1.0,,,,,,,,,,,,,,,,,,,1150,25,25,,,,,
Fieldweaver Tessella,frigate,75,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,500.0,300,500,,,,,,,,,,,,,,,,,,,,,900,,,,,,1.0,Shield,20.0,7000.0,10000.0,2.0,,,,,,,,,,,,,,1300,,,10,,,,
Plateforger Tessella,frigate,75,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,300.0,500,500,,,,,,,,,,,,,,,,,,,,,900,,,,,,1.0,Armor,20.0,7000.0,10000.0,2.0,,,,,,,,,,,,,,1300,,,10,,,,
Snarecaster Tessella,frigate,50,0.0,20.0,40.0,50.0,60,35,25,10,0,0,0,0,300.0,300,400,1.0,8000,4000,4000,4.0,,,8000.0,10.0,10.0,10.0,10.0,,,,,,,,,1500,,,,,,1.0,,,,,,,,,Stasis Webifier,30,5.0,10000.0,,,,,,,1000,10,10,,,,,
Spotlighter Tessella,frigate,50,0.0,20.0,40.0,50.0,60,35,25,10,0,0,0,0,350.0,350,300,1.0,8000,4000,4000,4.0,,,8000.0,10.0,10.0,10.0,10.0,,,,,,,,,1000,,,,,,1.0,,,,,,,,,Target Painter,20,5.0,30000.0,20000.0,,,,,,1000,10,10,,,,,
Fogcaster Tessella,frigate,50,0.0,20.0,40.0,50.0,60,35,25,10,0,0,0,0,350.0,350,300,1.0,8000,4000,4000,4.0,,,8000.0,10.0,10.0,10.0,10.0,,,,,,,,,1000,,,,,,1.0,,,,,,,,,Tracking Disruptor,`-10|-10|-10,5.0,25000.0,10000.0,Guidance Disruptor,`10|-10|-8|-8,5.0,25000.0,10000.0,1000,10,10,,,,,
Gazedimmer Tessella,frigate,50,0.0,20.0,40.0,50.0,60,35,25,10,0,0,0,0,350.0,350,350,1.0,8000,4000,4000,4.0,,,8000.0,10.0,10.0,10.0,10.0,,,,,,,,,1000,,,,,,1.0,,,,,,,,,Sensor Dampener,-15,5.0,20000.0,20000.0,,,,,,1050,10,10,,,,,
Vila Swarmer,drone,25,0.0,20.0,40.0,50.0,50,35,25,20,0,0,0,0,50.0,200,100,1.0,3000,3000,4000,2.0,,,2500.0,4.0,4.0,4.0,4.0,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,350,8,8,,,,,
Harrowing Vila Vedmak,cruiser,660,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,2000.0,7000,3000,4.0,22000,,65,5.0,1.5,0.01,15000.0,0.0,57.0,0.0,42.0,,,,,,,,,2000,6.0,1000,,,,1400.0,,,,,,,,,,,,,,,,,,,12000,79.2,79.2,,,,,
Anchoring Vila Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.2,8000,,500,3.0,1.5,0.01,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,3000,,1500,,,,500.0,,,,,,,,,Warp Scrambler,3,5.0,10000.0,,,,,,,3350,7,7,,,,,
Blinding Vila Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.2,8000,,500,3.0,1.5,0.01,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,2700,,1350,,,,500.0,,,,,,,,,Sensor Dampener,-20,5.0,40000.0,80000.0,,,,,,3350,7,7,,,,,
Ghosting Vila Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.2,8000,,500,3.0,1.5,0.01,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,2700,,1350,,,,500.0,,,,,,,,,Tracking Disruptor,-20,10.0,40000.0,20000.0,Guidance Disruptor,`15|-15|-10|-10,10.0,40000.0,20000.0,3350,7,7,,,,,
Shining Vila Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.2,8000,,500,3.0,1.5,0.01,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,2800,,1400,,,,500.0,,,,,,,,,Target Painter,35,5.0,50000.0,100000.0,,,,,,3350,7,7,,,,,
Striking Vila Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.2,8000,,500,3.0,1.5,0.01,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,2900,,1450,,,,500.0,,,,,,,,,,,,,,,,,,,3350,7,7,,,,,
Tangling Vila Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.2,8000,,500,3.0,1.5,0.01,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,3000,,1500,,,,500.0,,,,,,,,,Stasis Webifier,50,5.0,10000.0,,,,,,,3350,7,7,,,,,
Anchoring Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.8,10000,,500,3.0,1.5,0.04,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,3000,,1500,,,,500.0,Armor,40.0,14000.0,2500.0,3.0,,,,Warp Scrambler,2,5.0,9500.0,,,,,,,3350,28,28,13.333333333333334,,,,
Ghosting Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.8,10000,,500,3.0,1.5,0.04,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,2800,,1400,,,,500.0,Armor,40.0,14000.0,2500.0,3.0,,,,Tracking Disruptor,`-20.3|-20.3|-20.3,5.0,20000.0,10000.0,Guidance Disruptor,`13.75|-13.75|-10.62|-10.62,5.0,20000.0,10000.0,3350,28,28,13.333333333333334,,,,
Starving Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.8,10000,,500,3.0,1.5,0.04,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,2700,,1350,,,,500.0,,,,,,,,,Energy Neutralizer,100,8.0,4000.0,9000.0,,,,,,3350,28,28,,,12.5,,
Striking Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.8,10000,,500,3.0,1.5,0.04,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,2900,,1450,,,,500.0,Armor,40.0,14000.0,2500.0,3.0,,,,,,,,,,,,,,3350,28,28,13.333333333333334,,,,
Tangling Damavik,frigate,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,500.0,2200,650,0.8,10000,,500,3.0,1.5,0.04,6000.0,0.0,72.0,0.0,33.0,,,,,,,,,3000,,1500,,,,500.0,Armor,40.0,14000.0,2500.0,3.0,,,,Stasis Webifier,50,5.0,10000.0,,,,,,,3350,28,28,13.333333333333334,,,,
Harrowing Vedmak,cruiser,660,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,2000.0,7000,3000,8.0,22000,,65,5.0,1.5,0.04,15000.0,0.0,57.0,0.0,42.0,,,,,,,,,2000,6.0,1000,,,,1400.0,Armor,160.0,28000.0,25000.0,6.0,,,,,,,,,,,,,,12000,158.4,158.4,26.666666666666668,,,,
Starving Vedmak,cruiser,660,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,2000.0,7000,3000,8.0,22000,,65,5.0,1.5,0.04,,0.0,57.0,0.0,42.0,,,,,,,,,1800,6.0,900,,,,1400.0,,,,,,,,,Energy Neutralizer,360,20.0,10000.0,5000.0,,,,,,12000,158.4,158.4,,,18,,
Striking Drekavac,battlecruiser,300,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,2700.0,9500,6800,5.5,38000,,10,5.0,1.5,0.01,30000.0,0.0,60.0,0.0,45.0,,,,,,,,,450,,,3000.0,1000.0,6000.0,8250.0,Armor,170.0,30000.0,40000.0,5.0,,,,,,,,,,,,,,8300,115.5,115.5,34,,,,
Shining Drekavac,battlecruiser,300,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,2700.0,9500,6800,4.5,38000,,10,5.0,1.5,0.01,30000.0,0.0,60.0,0.0,45.0,,,,,,,,,450,,,3000.0,1000.0,6000.0,8250.0,Armor,170.0,30000.0,40000.0,5.0,,,,Target Painter,20,5.0,50000.0,100000.0,,,,,,8300,94.5,94.5,34,,,,
Ghosting Kikimora,destroyer,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,1100.0,2900,1300,2.0,25000,,500,3.0,1.5,0.02,16000.0,0.0,85.0,0.0,40.0,,,,,,,,,1400,,450,,,,625.0,Armor,60.0,15000.0,25000.0,3.0,,,,Tracking Disruptor,-20.3,5.0,20000.0,10000.0,Guidance Disruptor,`13.75|-10.62|-10.62|-10.62,5.0,20000.0,10000.0,5300,83.33333333333333,83.33333333333333,20,,,,
Tangling Kikimora,destroyer,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,1100.0,2900,1300,2.0,25000,,500,3.0,1.5,0.02,16000.0,0.0,85.0,0.0,40.0,,,,,,,,,1400,,450,,,,625.0,Armor,60.0,15000.0,25000.0,3.0,,,,Stasis Webifier,50,5.0,10000.0,,,,,,,5300,83.33333333333333,83.33333333333333,20,,,,
Striking Kikimora,destroyer,192,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,1100.0,2900,1300,2.0,25000,,500,3.0,1.5,0.02,16000.0,0.0,85.0,0.0,40.0,,,,,,,,,1400,,450,,,,625.0,Armor,60.0,15000.0,25000.0,3.0,,,,,,,,,,,,,,5300,83.33333333333333,83.33333333333333,20,,,,
Blinding Leshak,battleship,370,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,5000.0,13000,10000,0.8,63000,,7,5.0,1.5,0.02,,0.0,378.0,0.0,238.0,,,,,,,,,400,,,13000.0,0.0,6041.0,8250.0,Armor,225.0,33000.0,28000.0,6.0,,,,Sensor Dampener,-25,5.0,40000.0,80000.0,,,,,,3959,98.56,98.56,37.5,,,,
Renewing Leshak,battleship,370,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,5000.0,13000,10000,0.8,63000,,7,5.0,1.5,0.02,,0.0,378.0,0.0,238.0,,,,,,,,,400,,,13000.0,0.0,6699.0,8250.0,Armor,450.0,33000.0,28000.0,6.0,,,,,,,,,,,,,,3301,98.56,98.56,75,,,,
Striking Leshak,battleship,370,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,5000.0,13000,10000,0.8,63000,,7,5.0,1.5,0.02,,0.0,378.0,0.0,238.0,,,,,,,,,400,,,13000.0,0.0,5323.0,8250.0,Armor,225.0,33000.0,28000.0,6.0,,,,,,,,,,,,,,4677,98.56,98.56,37.5,,,,
Tangling Leshak,battleship,370,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,5000.0,13000,10000,0.8,63000,,7,5.0,1.5,0.02,12000.0,0.0,378.0,0.0,238.0,,,,,,,,,400,,,13000.0,0.0,7608.0,8250.0,Armor,225.0,33000.0,28000.0,6.0,,,,Stasis Webifier,50,5.0,15000.0,,,,,,,2392,98.56,98.56,37.5,,,,
Starving Leshak,battleship,370,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,5000.0,13000,10000,0.8,63000,,7,5.0,1.5,0.02,12000.0,0.0,378.0,0.0,238.0,,,,,,,,,400,,,13000.0,0.0,6551.0,8250.0,Armor,225.0,33000.0,28000.0,6.0,,,,Energy Neutralizer,600,24.0,30000.0,20000.0,,,,,,3449,98.56,98.56,37.5,,25,,
Renewing Rodiva,cruiser,150,0.0,20.0,40.0,50.0,60,48,53,36,33,33,33,33,1200.0,4700,2400,3.5,22000,,70,5.0,1.5,0.02,15000.0,0.0,54.0,0.0,39.0,,,,,,,,,1900,,380,,,,1870.0,Armor,450.0,30000.0,40000.0,6.0,,,,,,,,,,,,,,8300,65.1,65.1,75,,,,
